batch i:1, episode_len:35
batch i:2, episode_len:30
batch i:3, episode_len:36
batch i:4, episode_len:49
batch i:5, episode_len:31
batch i:6, episode_len:38
batch i:7, episode_len:33
batch i:8, episode_len:24
batch i:9, episode_len:38
batch i:10, episode_len:31
batch i:11, episode_len:17
batch i:12, episode_len:36
batch i:13, episode_len:30
batch i:14, episode_len:43
batch i:15, episode_len:33
batch i:16, episode_len:39
batch i:17, episode_len:35
batch i:18, episode_len:26
batch i:19, episode_len:17
batch i:20, episode_len:27
batch i:21, episode_len:18
batch i:22, episode_len:46
batch i:23, episode_len:38
batch i:24, episode_len:23
batch i:25, episode_len:56
batch i:26, episode_len:25
batch i:27, episode_len:25
batch i:28, episode_len:37
batch i:29, episode_len:32
batch i:30, episode_len:34
batch i:31, episode_len:21
batch i:32, episode_len:15
batch i:33, episode_len:38
batch i:34, episode_len:36
batch i:35, episode_len:23
batch i:36, episode_len:12
batch i:37, episode_len:20
batch i:38, episode_len:23
batch i:39, episode_len:27
batch i:40, episode_len:14
batch i:41, episode_len:27
batch i:42, episode_len:34
batch i:43, episode_len:26
batch i:44, episode_len:17
batch i:45, episode_len:22
batch i:46, episode_len:23
batch i:47, episode_len:29
batch i:48, episode_len:23
batch i:49, episode_len:38
batch i:50, episode_len:16
batch i:51, episode_len:41
batch i:52, episode_len:37
batch i:53, episode_len:20
batch i:54, episode_len:15
batch i:55, episode_len:17
batch i:56, episode_len:18
batch i:57, episode_len:19
batch i:58, episode_len:17
batch i:59, episode_len:33
batch i:60, episode_len:17
batch i:61, episode_len:17
batch i:62, episode_len:15
batch i:63, episode_len:19
batch i:64, episode_len:17
batch i:65, episode_len:29
batch i:66, episode_len:22
batch i:67, episode_len:21
batch i:68, episode_len:30
batch i:69, episode_len:23
batch i:70, episode_len:14
batch i:71, episode_len:28
batch i:72, episode_len:19
batch i:73, episode_len:20
batch i:74, episode_len:13
batch i:75, episode_len:32
batch i:76, episode_len:15
batch i:77, episode_len:19
batch i:78, episode_len:27
batch i:79, episode_len:17
batch i:80, episode_len:21
batch i:81, episode_len:27
batch i:82, episode_len:21
batch i:83, episode_len:21
batch i:84, episode_len:26
batch i:85, episode_len:19
batch i:86, episode_len:20
batch i:87, episode_len:13
batch i:88, episode_len:23
batch i:89, episode_len:19
batch i:90, episode_len:20
batch i:91, episode_len:15
batch i:92, episode_len:27
batch i:93, episode_len:16
batch i:94, episode_len:15
batch i:95, episode_len:9
batch i:96, episode_len:11
batch i:97, episode_len:34
batch i:98, episode_len:31
batch i:99, episode_len:24
batch i:100, episode_len:18
batch i:101, episode_len:14
batch i:102, episode_len:24
batch i:103, episode_len:21
batch i:104, episode_len:15
batch i:105, episode_len:22
batch i:106, episode_len:21
batch i:107, episode_len:31
batch i:108, episode_len:21
batch i:109, episode_len:14
batch i:110, episode_len:11
batch i:111, episode_len:13
batch i:112, episode_len:19
batch i:113, episode_len:22
batch i:114, episode_len:24
batch i:115, episode_len:26
batch i:116, episode_len:19
batch i:117, episode_len:19
batch i:118, episode_len:17
batch i:119, episode_len:17
batch i:120, episode_len:17
batch i:121, episode_len:25
batch i:122, episode_len:11
batch i:123, episode_len:14
batch i:124, episode_len:20
batch i:125, episode_len:13
batch i:126, episode_len:9
batch i:127, episode_len:30
batch i:128, episode_len:15
batch i:129, episode_len:16
batch i:130, episode_len:17
batch i:131, episode_len:25
batch i:132, episode_len:18
batch i:133, episode_len:19
batch i:134, episode_len:9
batch i:135, episode_len:9
batch i:136, episode_len:15
batch i:137, episode_len:15
batch i:138, episode_len:33
batch i:139, episode_len:21
batch i:140, episode_len:21
batch i:141, episode_len:15
batch i:142, episode_len:12
batch i:143, episode_len:23
batch i:144, episode_len:19
batch i:145, episode_len:14
batch i:146, episode_len:34
batch i:147, episode_len:13
batch i:148, episode_len:15
batch i:149, episode_len:10
batch i:150, episode_len:11
batch i:151, episode_len:13
batch i:152, episode_len:17
batch i:153, episode_len:10
batch i:154, episode_len:21
batch i:155, episode_len:15
batch i:156, episode_len:18
batch i:157, episode_len:10
batch i:158, episode_len:11
batch i:159, episode_len:19
batch i:160, episode_len:21
batch i:161, episode_len:19
batch i:162, episode_len:22
batch i:163, episode_len:13
batch i:164, episode_len:24
batch i:165, episode_len:13
batch i:166, episode_len:21
batch i:167, episode_len:17
batch i:168, episode_len:22
batch i:169, episode_len:29
batch i:170, episode_len:10
batch i:171, episode_len:27
batch i:172, episode_len:23
batch i:173, episode_len:19
batch i:174, episode_len:15
batch i:175, episode_len:13
batch i:176, episode_len:17
batch i:177, episode_len:25
batch i:178, episode_len:16
batch i:179, episode_len:15
batch i:180, episode_len:21
batch i:181, episode_len:16
batch i:182, episode_len:15
batch i:183, episode_len:24
batch i:184, episode_len:13
batch i:185, episode_len:21
batch i:186, episode_len:30
batch i:187, episode_len:14
batch i:188, episode_len:19
batch i:189, episode_len:15
batch i:190, episode_len:15
batch i:191, episode_len:16
batch i:192, episode_len:11
batch i:193, episode_len:16
batch i:194, episode_len:14
batch i:195, episode_len:12
batch i:196, episode_len:20
batch i:197, episode_len:19
batch i:198, episode_len:13
batch i:199, episode_len:17
batch i:200, episode_len:25
batch i:201, episode_len:18
batch i:202, episode_len:36
batch i:203, episode_len:18
batch i:204, episode_len:12
batch i:205, episode_len:17
batch i:206, episode_len:15
batch i:207, episode_len:27
batch i:208, episode_len:26
batch i:209, episode_len:26
batch i:210, episode_len:17
batch i:211, episode_len:25
batch i:212, episode_len:16
batch i:213, episode_len:21
batch i:214, episode_len:17
batch i:215, episode_len:16
batch i:216, episode_len:15
batch i:217, episode_len:15
batch i:218, episode_len:11
batch i:219, episode_len:43
batch i:220, episode_len:18
batch i:221, episode_len:11
batch i:222, episode_len:14
batch i:223, episode_len:13
batch i:224, episode_len:15
batch i:225, episode_len:17
batch i:226, episode_len:14
batch i:227, episode_len:13
batch i:228, episode_len:9
batch i:229, episode_len:17
batch i:230, episode_len:22
batch i:231, episode_len:13
batch i:232, episode_len:20
batch i:233, episode_len:13
batch i:234, episode_len:13
batch i:235, episode_len:10
batch i:236, episode_len:24
batch i:237, episode_len:23
batch i:238, episode_len:11
batch i:239, episode_len:15
batch i:240, episode_len:15
batch i:241, episode_len:11
batch i:242, episode_len:22
batch i:243, episode_len:12
batch i:244, episode_len:39
batch i:245, episode_len:11
batch i:246, episode_len:31
batch i:247, episode_len:11
