batch i:1, episode_len:39
batch i:2, episode_len:39
batch i:3, episode_len:13
batch i:4, episode_len:29
batch i:5, episode_len:34
batch i:6, episode_len:28
batch i:7, episode_len:39
batch i:8, episode_len:69
batch i:9, episode_len:31
batch i:10, episode_len:24
batch i:11, episode_len:43
batch i:12, episode_len:33
batch i:13, episode_len:44
batch i:14, episode_len:41
batch i:15, episode_len:20
batch i:16, episode_len:43
batch i:17, episode_len:20
batch i:18, episode_len:23
batch i:19, episode_len:47
batch i:20, episode_len:27
batch i:21, episode_len:32
batch i:22, episode_len:24
batch i:23, episode_len:30
batch i:24, episode_len:33
batch i:25, episode_len:36
batch i:26, episode_len:21
batch i:27, episode_len:31
batch i:28, episode_len:22
